eta_x,eta_y,eta_psi,vel_ref,head_ref
-236.662570757222,34.3971422544364,2.95486550430773,0,2.95486550430773
-236.663078641639,34.3957618043351,2.95495319751887,0,2.95495319751887
-236.66358326102,34.3943832785217,2.95504036131639,0,2.95504036131639
-236.664084647669,34.3930066769451,2.95512699892112,0,2.95512699892112
-236.664582833544,34.3916319995008,2.9552131135341,0,2.9552131135341
-236.665077850256,34.3902592460328,2.95529870833677,0,2.95529870833677
-236.665569729078,34.3888884163333,2.95538378649103,0,2.95538378649103
-236.666058500945,34.3875195101443,2.95546835113938,0,2.95546835113938
-236.666544196462,34.3861525271583,2.95555240540507,0,2.95555240540507
-236.6670268459,34.3847874670185,2.95563595239216,0,2.95563595239216
-236.667506479209,34.3834243293206,2.95571899518569,0,2.95571899518569
-236.667983126013,34.3820631136125,2.95580153685178,0,2.95580153685178
-236.668456815618,34.3807038193959,2.95588358043772,0,2.95588358043772
-236.668927577018,34.3793464461265,2.95596512897213,0,2.95596512897213
-236.669395438892,34.3779909932152,2.95604618546505,0,2.95604618546505
-236.669860429612,34.3766374600283,2.95612675290804,0,2.95612675290804
-236.670322577244,34.3752858458886,2.95620683427433,0,2.95620683427433
-236.670781909554,34.3739361500762,2.9562864325189,0,2.9562864325189
-236.671238454008,34.3725883718289,2.95636555057863,0,2.95636555057863
-236.671692237778,34.3712425103429,2.95644419137236,0,2.95644419137236
-236.672143287745,34.3698985647737,2.95652235780104,0,2.95652235780104
-236.672591630498,34.3685565342366,2.95660005274783,0,2.95660005274783
-236.673037292345,34.3672164178076,2.95667727907821,0,2.95667727907821
-236.673480299308,34.3658782145237,2.95675403964008,0,2.95675403964008
-236.673920677131,34.3645419233838,2.95683033726389,0,2.95683033726389
-236.674358451283,34.3632075433491,2.95690617476271,0,2.95690617476271
-236.674793646958,34.3618750733441,2.95698155493238,0,2.95698155493238
-236.67522628908,34.3605445122569,2.95705648055159,0,2.95705648055159
-236.675656402306,34.35921585894,2.95713095438199,0,2.95713095438199
-236.67608401103,34.3578891122106,2.9572049791683,0,2.9572049791683
-236.676509139383,34.3565642708516,2.9572785576384,0,2.9572785576384
-236.676931811237,34.3552413336119,2.95735169250346,0,2.95735169250346
-236.677352050209,34.3539202992071,2.95742438645803,0,2.95742438645803
-236.677769879663,34.35260116632,2.95749664218012,0,2.95749664218012
-236.678185322713,34.3512839336012,2.95756846233135,0,2.95756846233135
-236.678598402224,34.3499685996697,2.95763984955699,0,2.95763984955699
