eta_x,eta_y,eta_psi
487.078767885584,854.245641862593,-2.05839490890503
486.970586720542,854.040564636843,-2.05801999568939
486.862449453113,853.83654291058,-2.05752158164978
486.754062186573,853.633415719981,-2.05721747875214
486.645287952599,853.440158038321,-2.05792224407196
486.535438492338,853.238807622009,-2.05943298339844
486.424467808658,853.038132577172,-2.06094419956207
486.312853729581,852.837642435107,-2.06181824207306
486.200916873904,852.637143946332,-2.06193244457245
486.081597910288,852.444754684255,-2.06090521812439
485.968671948077,852.242719478189,-2.05943441390991
485.855301382209,852.038729865099,-2.05661511421204
485.741714046115,851.832650868651,-2.05251121520996
485.62788440872,851.625654354657,-2.04947602748871
485.509064330781,851.422820495988,-2.04591298103333
485.394632248946,851.214590464639,-2.04313111305237
485.280374540127,851.00559339857,-2.04046034812927
485.165905201686,850.795449577298,-2.03617207209269
485.051076335846,850.583255549084,-2.03208804130554
484.945643366891,850.38230522135,-2.02916777133942
484.829270330534,850.163586479696,-2.02656269073486
484.711725064228,849.941197626614,-2.02459418773651
484.592731000152,849.715093242154,-2.02338743209839
484.47204118451,849.485224184976,-2.02296018600464
484.34965116814,849.251326327487,-2.02296018600464
484.220762358489,849.013284642453,-2.0241273244222
484.094103326666,848.77263181433,-2.0268589258194
483.965474552153,848.529976468903,-2.02955985069275
483.835871452368,848.285263101743,-2.0328962802887
483.688442971062,848.022510090165,-2.03654837608337
483.558421354409,847.773934450136,-2.04016375541687
483.42829461372,847.523966565509,-2.04350829124451
483.297693302115,847.272857884899,-2.0462965965271
483.166894758003,847.020509565905,-2.04828298091888
483.018056275061,846.774088425698,-2.04962992668152
482.886275755032,846.520731877822,-2.05055844783783
482.75359996579,846.267959583076,-2.05065369606018
482.620442928917,846.0162750903,-2.04985666275024
482.487400780866,845.765434315676,-2.04824495315552
482.340090503962,845.499773157441,-2.04657006263733
482.207453182702,845.250785800926,-2.04416275024414
482.074545445998,845.002520535567,-2.04086172580719
481.942019366517,844.755018603704,-2.03838324546814
481.810625585479,844.509816785261,-2.03434244791667
481.672424785951,844.266470199556,-2.02831530570984
481.543472900224,844.025596455692,-2.02371430397034
481.415500396029,843.786702607473,-2.01978373527527
481.288344961609,843.549943226978,-2.01613640785217
481.162407471857,843.314951208345,-2.01248836517334
481.037947570823,843.081295595473,-2.00887703895569
480.920038384508,842.848522521293,-2.00539326667786
480.798070912907,842.615631245917,-2.00223731994629
480.676883307399,842.382769834853,-1.99914884567261
480.556945969728,842.150558669478,-1.99580484628677
480.42875950528,841.92687283553,-1.99259370565414
480.312478810893,841.694727570475,-1.98983317613602
480.19705548039,841.461985692107,-1.98775571584702
480.082153231012,841.228033671979,-1.98656904697418
479.967649945045,840.992598619222,-1.98618280887604
479.85901956597,840.769528858092,-1.98696774244308
479.744676740943,840.530581628345,-1.98869603872299
479.630051737237,840.28998474502,-1.99125081300735
479.515097923568,840.047983361637,-1.99361109733582
479.39972441953,839.805216267882,-1.99658733606339
479.270004324019,839.558595734759,-2.00245281060537
479.154169037183,839.315463587057,-2.00838804244995
479.037535941587,839.073772863477,-2.01585372289022
478.92012535862,838.833978402012,-2.02529442310333
478.803496292919,838.597596649066,-2.03120303153992
478.665390174027,838.346764820105,-2.03601741790771
478.553262107058,838.121269693079,-2.04042947292328
478.441445011589,837.899140607218,-2.04376184940338
478.329972708027,837.679692123965,-2.0459451675415
478.219088308268,837.463063473609,-2.04673516750336
478.108786219634,837.248956064829,-2.0461003780365
478.00963906461,837.07373854217,-2.04477965831757
477.899876059613,836.862491345178,-2.04269921779633
477.790110448972,836.651970549624,-2.04011797904968
477.680405396142,836.441908367853,-2.03704583644867
477.566876072861,836.235900621716,-2.03367257118225
477.457087553909,836.025990580698,-2.0300190448761
477.347175696291,835.815646331024,-2.02669668197632
477.237199920111,835.604567342262,-2.02567625045776
477.125593044684,835.396657418471,-2.0253438949585
477.014832141237,835.16285383449,-2.02496349811554
476.905078259403,834.958885236425,-2.02391672134399
476.79690408302,834.755785165424,-2.02284467220306
476.690077542375,834.554367945577,-2.02214908599854
476.584525716481,834.355282588211,-2.02130095163981
476.471297419185,834.181865078275,-2.02116370201111
476.367229616343,833.985830830546,-2.02170836925507
476.263504253792,833.790491839662,-2.02252388000488
476.160079733241,833.595594666523,-2.02334988117218
476.057070443336,833.400875482581,-2.02379620075226
475.961098964777,833.22604074336,-2.02401840686798
475.859013114707,833.030789042654,-2.02402031421661
475.757090073535,832.834816922383,-2.02362871170044
475.655677542667,832.63815196294,-2.02313375473022
475.554584176626,832.440849627126,-2.02293157577515
475.4531487125,832.242705097838,-2.02291452884674
475.376291461599,832.104956034227,-2.02311515808105
475.274029314499,831.904997317598,-2.02341826756795
475.146155776056,831.654007425974,-2.02416455745697
475.043933095825,831.453332768071,-2.02537310123444
474.93454622945,831.253155362843,-2.026047706604
474.833067423264,831.055798679418,-2.02583694458008
474.732988429759,830.858813849259,-2.02521538734436
474.633540520049,830.662500562692,-2.02463960647583
474.534452391826,830.467364524513,-2.02417945861816
474.438985811186,830.28222195901,-2.02376568317413
474.341176944575,830.090010256064,-2.0237410068512
474.243773164626,829.899279951932,-2.0240490436554
474.146746453675,829.709704589494,-2.02477073669434
474.050089271554,829.521787500427,-2.02639150619507
473.959835441703,829.343213929896,-2.02853763103485
473.863944872539,829.16186996303,-2.0310093164444
473.768787781775,828.98369702994,-2.03338575363159
473.674331582416,828.808272482453,-2.03531348705292
473.580821595764,828.635304669181,-2.03652000427246
473.487089440374,828.473982875107,-2.03700220584869
473.39513219881,828.305046805454,-2.03680491447449
473.303534709738,828.13742786205,-2.03596162796021
473.21210272283,827.970691829587,-2.03430461883545
473.120771897168,827.804491294213,-2.03185820579529
473.029903143906,827.638485191284,-2.02883720397949
472.942916750715,827.480347197174,-2.02631461620331
472.852183850426,827.315967199131,-2.02437233924866
472.761094247713,827.152852064082,-2.02300024032593
472.670048195031,826.991114551765,-2.02106642723083
472.58885677737,826.817111857336,-2.01834380626678
472.498983293699,826.656814047759,-2.01597690582275
472.409482752838,826.496311258776,-2.0133353471756
472.320227224407,826.335006021424,-2.01076281070709
472.230970291127,826.172211927321,-2.00832140445709
472.152213627661,826.023014288467,-2.00623369216919
472.062282477668,825.856714685362,-2.0046329498291
471.971971156252,825.688589420753,-2.0032901763916
471.881390846531,825.518274084625,-2.00157725811005
471.813437707224,825.389067595603,-1.9993829280138
471.727169957137,825.212833994843,-1.99718859791756
471.618198170028,824.991825848634,-1.99221712350845
471.530086296523,824.814118550729,-1.98915821313858
471.441923699012,824.634891475405,-1.98616170883179
471.353971417502,824.454187932684,-1.98337084054947
471.270596952516,824.271216364031,-1.98107242584229
471.183802046191,824.088202227677,-1.97930365800858
471.097439527809,823.904457732138,-1.97800004482269
471.011634520843,823.720627461556,-1.97696471214294
470.926529459303,823.53746564284,-1.97634690999985
470.8423759133,823.355357058939,-1.97633343935013
470.754763737466,823.159999309124,-1.97656965255737
470.67199013301,822.980198133608,-1.97662222385406
470.590531002859,822.801809023981,-1.97643995285034
470.510352934338,822.625258606131,-1.97632926702499
470.430836158313,822.44633916759,-1.97596031427383
470.352540591541,822.272879273923,-1.97555649280548
470.274905814012,822.100749242579,-1.97521281242371
470.19766297622,821.929829269484,-1.97496938705444
470.120782300526,821.760002116645,-1.97475641965866
470.061079356446,821.597166476267,-1.97462350130081
469.984730967202,821.429189737634,-1.97427159547806
469.908771064292,821.261957615988,-1.97347551584244
469.833476640767,821.095360777044,-1.97214204072952
469.759030733899,820.92941979686,-1.97023290395737
469.678512908147,820.758046957475,-1.96795576810837
469.606002593758,820.593650326489,-1.96553021669388
469.534554612827,820.430701371627,-1.96320253610611
469.464214584702,820.270100921612,-1.96140986680984
